date,sales
2018-09-16,26
2018-09-17,29
2018-09-18,28
2018-09-19,32
2018-09-20,18
2018-09-21,31
2018-09-22,40
2018-09-23,29
2018-09-24,29
2018-09-25,28
2018-09-26,36
2018-09-27,34
2018-09-28,38
2018-09-29,22
2018-09-30,29
2018-10-01,24
2018-10-02,23
2018-10-03,19
2018-10-04,25
2018-10-05,36
2018-10-06,26
2018-10-07,30
2018-10-08,21
2018-10-09,32
2018-10-10,27
2018-10-11,34
2018-10-12,45
2018-10-13,39
2018-10-14,29
2018-10-15,37
2018-10-16,27
2018-10-17,35
2018-10-18,38
2018-10-19,32
2018-10-20,30
2018-10-21,25
2018-10-22,22
2018-10-23,24
2018-10-24,35
2018-10-25,26
2018-10-26,42
2018-10-27,17
2018-10-28,23
2018-10-29,36
2018-10-30,42
2018-10-31,38
2018-11-01,27
2018-11-02,42
2018-11-03,38
2018-11-04,28
2018-11-05,26
2018-11-06,32
2018-11-07,22
2018-11-08,22
2018-11-09,22
2018-11-10,29
2018-11-11,30
2018-11-12,40
2018-11-13,26
2018-11-14,25
2018-11-15,27
2018-11-16,37
2018-11-17,24
2018-11-18,39
2018-11-19,28
2018-11-20,39
2018-11-21,24
2018-11-22,38
2018-11-23,36
2018-11-24,30
2018-11-25,30
2018-11-26,37
2018-11-27,33
2018-11-28,27
2018-11-29,35
2018-11-30,38
2018-12-01,30
2018-12-02,28
2018-12-03,21
2018-12-04,31
2018-12-05,33
2018-12-06,32
2018-12-07,25
2018-12-08,30
2018-12-09,32
2018-12-10,27
2018-12-11,22
2018-12-12,33
2018-12-13,23
2018-12-14,27
2018-12-15,31
2018-12-16,38
2018-12-17,21
2018-12-18,32
2018-12-19,32
2018-12-20,40
2018-12-21,27
2018-12-22,30
2018-12-23,33
2018-12-24,31
2018-12-25,30
2018-12-26,31
2018-12-27,32
2018-12-28,40
2018-12-29,31
2018-12-30,29
2018-12-31,25
2019-01-01,35
2019-01-02,23
2019-01-03,19
2019-01-04,29
2019-01-05,25
2019-01-06,22
2019-01-07,33
2019-01-08,28
2019-01-09,19
2019-01-10,36
2019-01-11,28
2019-01-12,26
2019-01-13,16
2019-01-14,30
2019-01-15,30
2019-01-16,20
2019-01-17,31
2019-01-18,39
2019-01-19,22
2019-01-20,33
2019-01-21,27
2019-01-22,25
2019-01-23,31
2019-01-24,38
2019-01-25,31
2019-01-26,27
2019-01-27,30
2019-01-28,31
2019-01-29,28
2019-01-30,41
2019-01-31,27
2019-02-01,40
2019-02-02,22
2019-02-03,28
2019-02-04,38
2019-02-05,40
2019-02-06,26
2019-02-07,35
2019-02-08,34
2019-02-09,23
2019-02-10,29
2019-02-11,26
2019-02-12,23
2019-02-13,31
2019-02-14,28
2019-02-15,28
2019-02-16,26
2019-02-17,30
2019-02-18,31
2019-02-19,26
2019-02-20,36
2019-02-21,29
2019-02-22,24
2019-02-23,28
2019-02-24,32
2019-02-25,28
2019-02-26,30
2019-02-27,18
2019-02-28,36
2019-03-01,26
2019-03-02,33
2019-03-03,16
2019-03-04,33
2019-03-05,34
2019-03-06,19
2019-03-07,32
2019-03-08,32
2019-03-09,34
2019-03-10,28
2019-03-11,18
2019-03-12,37
2019-03-13,30
2019-03-14,33
2019-03-15,31
2019-03-16,21
2019-03-17,26
2019-03-18,30
2019-03-19,26
2019-03-20,40
2019-03-21,20
2019-03-22,35
2019-03-23,28
2019-03-24,27
2019-03-25,36
2019-03-26,34
2019-03-27,25
2019-03-28,27
2019-03-29,34
2019-03-30,17
2019-03-31,35
2019-04-01,30
2019-04-02,25
2019-04-03,26
2019-04-04,24
2019-04-05,27
2019-04-06,31
2019-04-07,33
2019-04-08,28
2019-04-09,30
2019-04-10,29
2019-04-11,28
2019-04-12,34
2019-04-13,23
2019-04-14,23
2019-04-15,41
2019-04-16,21
2019-04-17,37
2019-04-18,30
2019-04-19,22
2019-04-20,42
2019-04-21,21
2019-04-22,26
2019-04-23,29
2019-04-24,38
2019-04-25,25
2019-04-26,28
2019-04-27,27
2019-04-28,26
2019-04-29,31
2019-04-30,22
2019-05-01,22
2019-05-02,33
2019-05-03,38
2019-05-04,29
2019-05-05,20
2019-05-06,28
2019-05-07,25
2019-05-08,37
2019-05-09,28
2019-05-10,23
2019-05-11,37
2019-05-12,28
2019-05-13,31
2019-05-14,30
2019-05-15,19
2019-05-16,23
2019-05-17,26
2019-05-18,37
2019-05-19,42
2019-05-20,30
2019-05-21,26
2019-05-22,36
2019-05-23,33
2019-05-24,35
2019-05-25,21
2019-05-26,26
2019-05-27,23
2019-05-28,23
2019-05-29,27
2019-05-30,28
2019-05-31,32
2019-06-01,21
2019-06-02,30
2019-06-03,36
2019-06-04,26
2019-06-05,31
2019-06-06,21
2019-06-07,33
2019-06-08,23
2019-06-09,32
2019-06-10,22
2019-06-11,25
2019-06-12,27
2019-06-13,31
2019-06-14,28
2019-06-15,33
2019-06-16,38
2019-06-17,26
2019-06-18,41
2019-06-19,33
2019-06-20,28
2019-06-21,31
2019-06-22,22
2019-06-23,27
2019-06-24,23
2019-06-25,23
2019-06-26,42
2019-06-27,36
2019-06-28,25
2019-06-29,31
2019-06-30,30
2019-07-01,29
2019-07-02,28
2019-07-03,34
2019-07-04,34
2019-07-05,36
2019-07-06,34
2019-07-07,33
2019-07-08,33
2019-07-09,28
2019-07-10,38
2019-07-11,32
2019-07-12,29
2019-07-13,25
2019-07-14,39
2019-07-15,25
2019-07-16,42
2019-07-17,29
2019-07-18,29
2019-07-19,41
2019-07-20,22
2019-07-21,34
2019-07-22,24
2019-07-23,30
2019-07-24,33
2019-07-25,32
2019-07-26,33
2019-07-27,29
2019-07-28,17
2019-07-29,29
2019-07-30,26
2019-07-31,27
2019-08-01,29
2019-08-02,24
2019-08-03,37
2019-08-04,33
2019-08-05,38
2019-08-06,28
2019-08-07,32
2019-08-08,32
2019-08-09,30
2019-08-10,32
2019-08-11,26
2019-08-12,30
2019-08-13,26
2019-08-14,27
2019-08-15,43
2019-08-16,28
2019-08-17,38
2019-08-18,25
2019-08-19,22
2019-08-20,35
2019-08-21,18
2019-08-22,20
2019-08-23,24
2019-08-24,26
2019-08-25,33
2019-08-26,32
2019-08-27,30
2019-08-28,26
2019-08-29,27
2019-08-30,28
2019-08-31,29
2019-09-01,33
2019-09-02,37
2019-09-03,25
2019-09-04,23
2019-09-05,42
2019-09-06,37
2019-09-07,30
2019-09-08,35
2019-09-09,22
2019-09-10,25
2019-09-11,28
2019-09-12,28
2019-09-13,33
2019-09-14,22
2019-09-15,32
2019-09-16,31
2019-09-17,35
2019-09-18,28
2019-09-19,27
2019-09-20,28
2019-09-21,24
2019-09-22,18
2019-09-23,24
2019-09-24,32
2019-09-25,23
2019-09-26,25
2019-09-27,40
2019-09-28,41
2019-09-29,31
2019-09-30,29
2019-10-01,34
2019-10-02,35
2019-10-03,28
2019-10-04,26
2019-10-05,26
2019-10-06,29
2019-10-07,31
2019-10-08,28
2019-10-09,27
2019-10-10,24
2019-10-11,34
2019-10-12,20
2019-10-13,35
2019-10-14,28
2019-10-15,33
2019-10-16,17
2019-10-17,39
2019-10-18,26
2019-10-19,25
2019-10-20,24
2019-10-21,29
2019-10-22,16
2019-10-23,43
2019-10-24,22
2019-10-25,37
2019-10-26,29
2019-10-27,25
2019-10-28,35
2019-10-29,31
2019-10-30,30
2019-10-31,28
2019-11-01,27
2019-11-02,26
2019-11-03,18
2019-11-04,22
2019-11-05,25
2019-11-06,25
2019-11-07,28
2019-11-08,24
2019-11-09,28
2019-11-10,30
2019-11-11,26
2019-11-12,30
2019-11-13,29
2019-11-14,24
2019-11-15,30
2019-11-16,37
2019-11-17,26
2019-11-18,33
2019-11-19,28
2019-11-20,34
2019-11-21,27
2019-11-22,27
2019-11-23,36
2019-11-24,32
2019-11-25,30
2019-11-26,26
2019-11-27,33
2019-11-28,21
2019-11-29,27
2019-11-30,31
2019-12-01,33
2019-12-02,26
2019-12-03,33
2019-12-04,29
2019-12-05,30
2019-12-06,31
2019-12-07,46
2019-12-08,31
2019-12-09,32
2019-12-10,31
2019-12-11,36
2019-12-12,28
2019-12-13,29
2019-12-14,30
2019-12-15,33
2019-12-16,29
2019-12-17,21
2019-12-18,30
2019-12-19,26
2019-12-20,34
2019-12-21,24
2019-12-22,33
2019-12-23,26
2019-12-24,30
2019-12-25,32
2019-12-26,38
2019-12-27,32
2019-12-28,29
2019-12-29,36
2019-12-30,35
2019-12-31,41
